时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2021-09-13,Sharklet鲨纹科技,先进制造,Pre-A轮,3000万人民币,,15000,先进制造、新材料、新材料,Sharklet鲨纹科技采用Sharklet微结构抑制细菌和其他微生物。这项技术最初由佛罗里达大学的安东尼·布伦南博士发明，公司已获得授权将此技术应用于医疗和消费设备的研究开发。拥有美国专利局认证的六项不同专利，涉及微结构应用、不同Sharklet微结构尺寸以及各种医疗设备应用。目前仍在申请多项专利，涉及微结构技术的新应用，以及生产Sharklet微结构的创新制造工艺。我们还研发了新标准、新技术以及新设备以改善医疗设备测试。,"罗永浩 全球合伙人 罗永浩，锤子科技创始人，牛博网创始人，老罗英语培训创始人，著有《我的奋斗》一书，曾任职于新东方。 周立武 董事兼首席执行官 周立武，Sharklet Technologies, Inc.的董事兼首席执行官，负责领导公司运行及表面技术开发，旨在解决微生物生长问题，营造更健康、更安全、更清洁的环境。他领导着一个充满活力的多样化团队，由科学家、工程师、商业人士和产品开发人员组成，专注于Sharklet微结构的商业化运用。周立武先生同时长期担任兴源环保科技有限公司董事长。兴源是一家中国上市公司以及中国环境保护领域的市场领导者。兴源公司提供全面的环境管理服务，并为各行业提供废水处理服务。 "
2021-09-13,东岛新能源,传统制造,Pre-IPO,未透露,"金达投资, 前海母基金, 温氏投资, 稼沃资本",0,传统制造、化工产业、新材料,东岛新能源是一家电池材料生产商，主要从事锂离子动力电池负极材料、正极材料、锂电池电解质材料、动力电池负极包覆材料等产品的生产，致力于为用户提供一体化的锂电池整体制造方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-13,铸鼎工大,先进制造,战略投资,1000万人民币,宇枫科技,5000,先进制造、新材料、新材料,铸鼎工大新材料是一家高硅铝合金电子封装材料研发商，集科研、生产、销售、服务为一体，产品包括高硅铝合金坯锭、高硅铝合金壳体件、梯度高硅铝合金、镀金壳体件等，广泛应用于航空航天、通讯及军事装备制造等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-10,Alder Fuels,先进制造,战略投资,未透露,"Honeywell霍尼韦尔, United Airlines Ventures",325000,先进制造、新材料、新材料,Alder Fuels由Bryan Sherbacow领导，正在开发一种低碳喷气燃料，可以100%地替代石油燃料，而不需要改造现有的飞机或发动机。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-10,Spiber,先进制造,战略投资,344亿日元,Carlyle Group（领投）,8382000,先进制造、新材料、新材料,Spiber是一家日本合成蛛丝技术及产品开发商，Spiber源于庆应义塾大学尖端生命科学研究所研发的人工合成蛛丝技术，基于这项技术，Spiber在鹤冈市进一步研发出新型蛋白质材料Qmonos的量产技术，Qmonos可以加工成树脂、薄膜等多种多样的产品，且因原料无需使用化学物品，优异的环保性使其成为其受关注的新材料之一。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-07,东南铝业,传统制造,战略投资,未透露,"森马服饰, 前海母基金, 吉力创投, 国悦君安资本",50000,传统制造、轻工制造、新材料,东南铝业是一家铝制品研发商，该公司的产品包括散热器型材、推拉窗、太阳能支架、足踏板、隐藏式平轨推拉窗、隐框幕墙、平开窗等，同时公司承包了厦门国际会展中心、厦门外贸大厦等铝质工程，并提供设计、施工等服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-06,长利新材,先进制造,A轮,数亿人民币,达晨财智,150000,先进制造、新材料、新材料,长利新材是一家玻璃制造商，业务涵盖玻璃及玻璃深加工产品的生产、加工及销售等。现阶段公司重点自主研创超薄特种玻璃、新型双面发电光伏玻璃、节能汽车镀膜玻璃等多种新产品。已形成优质浮法玻璃、可钢LOW-E镀膜玻璃、加工玻璃、高强光伏玻璃四大品类，广泛用于建筑、汽车、光伏、制镜、电子、家电等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-02,格派新能源,先进制造,B轮,未透露,浙商创投,15000,先进制造、新能源、新材料,格派新能源是一家动力电池材料提供商，公司主要业务包括钴镍锰等基础料、三元前驱体、锂电正极材料以及动力电池梯次循环利用等，致力于建设新能源动力电池产业生产圈。,曹栋强 董事长 曹栋强，格派新能源董事长。 
2021-09-02,中科玖源,先进制造,A轮,数千万人民币,"同创伟业, 高创资本, 银鞍资本（领投）, 如石资本, 广投集团",15000,先进制造、新材料、新材料,中科玖源是一家聚酰亚胺相关基础性关键材料产研商，该公司专注于聚酰亚胺薄膜、浆料等基础性关键材料的研究、开发、生产及销售。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-01,合肥欣奕华,先进制造,战略投资,6亿人民币,"招银国际（领投）, 同创伟业（领投）, 华登国际, 沃赋资本, 平安财智, 中科图灵, 合肥产投, 天马股份, 音飞储存, 中冀投资, 中金资本, 橙叶投资, 晋泰釜投资, 华融瑞泽, 陶文旅集团, 悦时投资",300000,先进制造、智能装备、人工智能,合肥欣奕华是一家泛半导体智能装备供应商，专注于为智能制造、信息交互和人类便捷生活提供解决方案和专业服务。公司主营业务涉及智能机器和先进材料两大领域，包括智能机器、先进材料、人工智能和飞行器四大事业。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-31,吉林碳谷,生产制造,IPO上市,未透露,,50000,传统制造、化工产业、制造业,吉林碳谷是一家聚丙烯腈基碳纤维原丝制造商，公司采用三元法水相悬浮聚合两步法生产碳纤维聚合物，以二甲基乙酰胺为溶剂湿法生产碳纤维原丝，其特点是工艺流程短、质量稳定、产量高，主要产品有1K、3K、6K、l2K、24K、48K等聚丙烯腈基（PAN）碳纤维原丝以及预氧丝等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-31,国鸿氢能,先进制造,战略投资,未透露,"涌铧投资, 昇辉科技",50000,先进制造、新材料、电池,国鸿氢能是一家燃料电池生产商，公司主要产品包括氢燃料电池商用车、纯氢燃料备用电源、氢燃料电池电堆、燃料电池发动机等，产品广泛应用于各种车型、无人机、汽车交通、分布式电站等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-31,高创湘钛,先进制造,天使轮,数千万人民币,"湖南高新创投集团, 钧犀资本",10000,先进制造、新材料、物联网,高创湘钛是一家新材料及物联网技术服务公司。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-25,宇航派蒙,先进制造,B轮,6400万人民币,,32000,先进制造、新材料、环保,宇航派蒙是集生产、制造、销售于一体的中国石墨烯热管理应用领军企业，致力于新材料在大健康行业的应用，更注重“时尚轻养生”产品的开发和布局，核心产品涵盖智能穿戴、健康家居及消杀防护等领域。 2017年，宇航派蒙推出石墨烯发热理疗健康产品系列，涵盖了石墨烯发热理疗护具、保暖服饰、发热家居产品等，并成为小米有品核心供应商。,许岚 创始人 许岚，派蒙集团创始人。 潘智军 董事长 潘智军，派蒙集团董事长。 
2021-08-25,VisIC Technologies,先进制造,战略投资,2500万美元,宏光照明,81250,先进制造、集成电路、新材料,VisIC Technologies是一家以色列氮化镓功率半导体供应商，专注于汽车高压应用领域氮化镓器件，是xEV应用领域氮化镓电子器件的全球领导者，专注于大功率汽车解决方案。其高效、可扩展的产品以深厚的氮化镓技术知识和数十年的经验为基础。VisIC致力于在能源转换系统的规模和成本方面提供逐步的功能改进，并努力在所有开发阶段提供高质量的客户支持。VisIC提供基于复合半导体氮化镓（GaN）材料的大功率晶体管产品，旨在为高性价比和高性能的汽车逆变器系统提供产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
